Katsesõna	ÜS_definitsioon
Agusalu	küla Ida-Viru maakonnas Alutaguse vallas (Iisaku kihelkonnas)
ah	väljendab ja rõhutab rõõmu, imetlust, üllatust, ükskõiksust, tüdimust vms
ahaa	väljendab ning rõhutab märkamist, taipamist, mõistmist, teatavaks võtmist või nentivat kinnitust
ahah	väljendab ning rõhutab teatavaks võtmist, kinnitust, ka märkamist või mõistmist
ahahhitama	(imestades, üllatudes) korduvalt ahah ütlema
ahas	suuruselt, mahult üsna väike, selline, kus on kitsas (tegutseda, olla, käia)
ahastama	"(sõnade, nutu, käitumisega) meeleheidet, suurt hingevalu väljendama	 lootusetust või väljapääsmatust kogema"
ahastavalt	"meeleheidet, suurt hingevalu väljendades	 seda tekitavalt"
Ahaste	küla Pärnu maakonnas Pärnu linna halduspiirkonnas (Mihkli kihelkonnas)
ahastus	meeleheide, suur hingevalu, lootusetus- või väljapääsmatustunne
Ahekõnnu	küla Rapla maakonnas Kehtna vallas (Rapla kihelkonnas)
ahel	üksteisele järgnevate esemete, nähtuste, faktide, sündmuste, ka inimeste pidev rida
ahelataoline	ahelat moodustav
aheldama	"ahela(i)sse panema	 ahela(i)s hoidma"
ahelduma	ahelaks seostuma või reastuma
ahelik	üksteise järel või kõrvuti asetsevad esemed, nähtused, inimesed vms
aheljas	ahelat moodustav
aheljäreldus	(loogikas:) kahest eeldusest tulenev järeldus, kusjuures eeldustega on seotud kolm mõistet
ahelreaktsioon	millestki tõukunud rida sündmusi, millest igaüks omakorda mõjutab järgmist või põhjustab selle
ahend	(haiguslik seisund:) õõneselundi või juha valendiku tunduv kitsenemus
ahendama	laiuselt vähemaks, kitsamaks tegema
ahendus	(haiguslik seisund:) õõneselundi või juha valendiku tunduv kitsenemus
ahenema	laiuselt vähemaks, kitsamaks muutuma
ahenemus	veresoone vm õõneselundi kitsenemine, mida põhjustab sidekoe kokkutõmbumine, kasvaja vm haigus
aheraine	kaevandatava maavara hulgas esinevad mineraalid või kivimid, mida antud oludes ei tarvitata
ahhaa	väljendab ning rõhutab märkamist, taipamist, mõistmist, teatavaks võtmist või nentivat kinnitust
Ahhaia	Kreeka maakond
ahhetama	"imestusest, üllatusest, vaimustusest (korduvalt) ah ütlema või hüüdma	 imestama, vaimustuma"
ahi	kinnine tulekolle ruumi(de) kütmiseks
Ahijärv	järv Põlva maakonnas Kanepi vallas (Kanepi kihelkonnas)
ahiküte	"vastav küttesüsteem	 kütmisviis, kus ruume köetakse ahju(de)ga"
Ahisilla	küla Harju maakonnas Kose vallas (Kose kihelkonnas)
ahistaja	inimene, kes kedagi vaimselt, seksuaalselt vm moel kimbutab või kiusab, talle raskusi, häda põhjustades
ahistama	kedagi vaimselt, seksuaalselt vm moel kimbutama või kiusama, talle raskusi, häda põhjustama
ahistav	kellegi elu või tegevust häiriv, kedagi vaimselt, seksuaalselt vm moel kiusav või piirav
ahistus	"ahistamine	 rusuv, ahistavalt mõjuv tunne, meeleolu või olukord"
Ahitsa	küla Võru maakonnas Rõuge vallas (Rõuge kihelkonnas)
Ahja	alevik Põlva maakonnas Põlva vallas (Võnnu kihelkonnas)
ahjualune	ahju all olev
ahjuauk	õõnsus, tühe ahju seinas, mida kasutati nt toidu soojas hoidmiseks või riiete kuivatamiseks
ahjukapp	õõnsus, tühe ahju seinas, mida kasutati nt toidu soojas hoidmiseks või riiete kuivatamiseks
ahjukivi	ahju ladumiseks sobilik, selleks mõeldud kivi
ahjuküte	"kütmisviis, kus ruume köetakse ahju(de)ga	 vastav küttesüsteem"
ahjusoe	otse ahjust (küpsemast) võetud, väga värske
Ahli	külad Lääne maakonnas Haapsalu linna halduspiirkonnas (Ridala kihelkonnas): Suure-Ahli ja Väike-Ahli
ahm	mustjaspruun umbes ühe meetri pikkune taiga- ja tundraalade kiskja
ahmama	"suuga millestki kinni võtma, suhu haarama	 sügavasti sisse hingama"
Ahmedabad	linn Indias Gujarati osariigis
ahmima	korduvalt (ning ahnelt) midagi või millegi järele haarama
ahmitsema	"ahnitsema	 ahnelt ahmima"
ahne	enda valdusse kiskuv või püüdev, võimalikult palju endale tahtev või endasse ahmiv
ahnelt	võimalikult palju endale saada tahtes, kiirustades
ahnepäits	ahne loom või inimene
ahnesti	võimalikult palju endale saada tahtes, kiirustades
ahnitsema	ahnena endale või enda valdusse haarama, ahnena taotlema
ahnur	inimene, kes ahnitseb endale kõike kokku
ahnus	ahne-olek, loomuomane püüd saada endale võimalikult palju
ahoi	tähelepanu tõmbav või millelegi juhtiv hüüatus
ahtake	suuruselt, mahult üsna väike, selline, kus on kitsas (tegutseda, olla, käia)
ahtakene	suuruselt, mahult üsna väike, selline, kus on kitsas (tegutseda, olla, käia)
ahtalehine	(peamiselt taimeliikide nimetustes:) kitsaste lehtedega
Ahtme	linnaosa Kohtla-Järvel (Jõhvi kihelkonnas)
ahtuke	suuruselt, mahult üsna väike, selline, kus on kitsas (tegutseda, olla, käia)
Ahula	küla Järva maakonnas Järva vallas (Järva-Madise kihelkonnas)
Ahunapalu	küla Tartu maakonnas Kastre vallas (Võnnu kihelkonnas)
ahv	troopikametsades hrl puude otsas elav inimesele päritolult lähim imetaja
ahvatama	ahvatlevana midagi tegema mõjutama, kutsuvalt mõjuma
ahvatelema	ahvatlevana midagi tegema mõjutama, kutsuvalt mõjuma
ahvatis	sööt, lõhnaaine vm vahend, millega meelitatakse ligi kalu vm loomi, et neid tabada või surmata
ahvatlema	ahvatlevana midagi tegema mõjutama, kutsuvalt mõjuma
ahvatlus	asjaolu, mis meelitab kedagi midagi tegema, mis kutsuvalt ligi tõmbab
ahven	Euroopa ja Põhja-Aasia tumedavöödiline punakate uimedega mage- ning riimveekala
Ahvenamaa	autonoomne maakond Soome koosseisus
ahvilik	ahvi välimust või liigutusi meenutav (nt väle ja painduv)
AI	"tarkvara või isekäituv seade, mis suudab konkreetse ülesande lahendamiseks tunnetada väliseid sündmusi ja neile eesmärgipäraselt reageerida (nt mängida malet, tõlkida ühest keelest teise)	 arvuti suutlikkus jäljendada inimmõistust"
aiakultuur	aias kasvatatav taim
aiakunst	iluaedade, haljasalade, parkide planeerimise ning kujundamisega tegelev arhitektuuri ja aianduse haru
Aiamaa	küla Tartu maakonnas Nõo vallas (Nõo kihelkonnas)
aiamaa	aiakultuuride, hrl aedvilja kasvatamiseks mõeldud maa
aiand	koht ja ettevõte, kus kasvatatakse müügiks mitmesuguseid taimi (nt juur- ja puuvilju, ilutaimi)
aiandus	aiapidamise, aiandusega seotud
aiandus	aiakultuuride kasvatamisega tegelev maaviljeluse haru
aianduslik	aiapidamise, aiandusega seotud
aiandusühistu	aiapidajate kaasomandis oleva maa-ala ja seal asuva vara valitsemiseks moodustatud mittetulundusühing
aianurk	"väike aed või maalapp millegi kasvatamiseks	 aia nurgaosa"
aiapidaja	aeda omav ning aiakultuure kasvatav inimene
aiapidamine	(oma) aia viljelemine, aiakultuuride kasvatamine
Aiaste	küla Põlva maakonnas Kanepi vallas (Otepää kihelkonnas)
aiatöö	aiapidamisega seotud töö (nt istutamine, kastmine, muruniitmine)
aidaa	(lahkumisel öeldav sõna:) nägemiseni, kohtumiseni
aidamees	mõisa aitade üle valitsev mõisateenija
aids	HI-viirusest põhjustatud haigus, omandatud immuunpuudulikkuse sündroom
AIDS	HI-viirusest põhjustatud haigus, omandatud immuunpuudulikkuse sündroom
aidsiviirus	aidsi tekitav viirus
Aidu	küla Jõgeva maakonnas Põltsamaa vallas (Põltsamaa kihelkonnas)
Aidu-Liiva	küla Ida-Viru maakonnas Lüganuse vallas (Lüganuse kihelkonnas)
Aidu-Nõmme	küla Ida-Viru maakonnas Lüganuse vallas (Lüganuse kihelkonnas)
Aidu-Sooküla	küla Ida-Viru maakonnas Lüganuse vallas (Lüganuse kihelkonnas)
aietama	hrl valust ai ütlema või hüüatama
aih	ehmatust, imestust või üllatust väljendav ning rõhutav hüüatus
Aila	küla Harju maakonnas Saue vallas (Keila kihelkonnas)
aim	vaistlik tunne, et midagi on juhtumas, millegi etteteadmise ebamäärane tunne
aimama	millegi saabumist (ebamääraselt, vaistlikult) ennustama, (justkui) ette teadma või tajuma
aimamatu	selline, mida ei oska ette aimata
aimamisi	"aimamise teel	 ebaselgel või ähmasel viisil"
aimdus	vaistlik tunne, et midagi on juhtumas, millegi etteteadmise ebamäärane tunne
aime	teaduse valdkonda kuuluvat üldarusaadavalt esitav kirjandus
aime	teaduse valdkonda kuuluvat üldarusaadavalt esitav
aimekirjandus	teaduse valdkonda kuuluvat üldarusaadavalt esitav kirjandus
aimeline	teaduse valdkonda kuuluvat üldarusaadavalt esitav
Aimla	küla Viljandi maakonnas Põhja-Sakala vallas (Suure-Jaani kihelkonnas)
aimuma	aimatavaks, tajutavaks saama või selline olema
aimus	vaistlik tunne, et midagi on juhtumas, millegi etteteadmise ebamäärane tunne
aimutu	"ebaselge, raskesti hoomatav	 selline, et ei taipa"
aina	kogu aeg, jätkuvalt ühtmoodi või samal viisil muutudes
Ainaži	linn Põhja-Lätis Eesti piiri lähedal
Aindu	küla Viljandi maakonnas Viljandi vallas (Viljandi kihelkonnas)
ainealane	mingi eriala, õppeainega seotud
ainekabinet	spetsiaalse sisseseadega ruum mingi õppeaine õpetamiseks (hrl koolis)
aineklass	spetsiaalse sisseseadega ruum mingi õppeaine õpetamiseks (hrl koolis)
ainekomisjon	ühe õppeaine või valdkonnaainete õpetamist suunav komisjon koolis
aineliselt	varade, raha poolest, varade, rahaga seotud
ainepunkt	õppetöö mahu arvestamise ühik kõrgkoolis
aineregister	märksõnade tähestikjärjestuses register trükises või andmebaasis
aines	loome- või teadustöö lähte- või allikmaterjal esemete, faktide või andmetena
ainestik	loome- või teadustöö lähte- või allikmaterjal esemete, faktide või andmetena
ainevahetus	biokeemiliste protsesside kompleks, mille kaudu organism on ühenduses ümbritseva keskkonnaga (saades toiduga vajalikke aineid ja eritades jääkaineid)
ainevald	valdkond, kust võetakse kunstiloomingu, uurimistöö vms aine
ainevaldkond	valdkond, kust võetakse kunstiloomingu, uurimistöö vms aine
ainik	selline, mida või keda on ainult üks
ainiti	"pilku pööramata	 teraselt, tähelepanelikult"
ainitine	pilku pööramata, üksisilmi või teraselt vaatav
ainitiselt	"teraselt, tähelepanelikult	 pilku pööramata"
Ainja	küla Viljandi maakonnas Mulgi vallas (Karksi kihelkonnas)
ainsam	selline, mida või keda on ainult üks
ainsuslik	ainsuses olev
ainuabielu	ühe mehe ja ühe naise vaheline abielu
ainuisikuline	"ainult ühes isikus kehastuv	 ainult ühe isiku poolt teostatav"
ainujuhtija	see, kes on võistluses jagamatult esikohal
ainujumal	ainult üks jumal, ainus jumal
ainuke	selline, mida või keda on ainult üks
ainukene	selline, mida või keda on ainult üks
ainumalt	ainult, üksnes
ainumane	selline, mida või keda on ainult üks
ainumas	selline, mida või keda on ainult üks
ainuprojekt	üksikjuhuks tehtud ehitusprojekt, milles arvestatakse täpselt kliendi soove
ainus	selline, mida või keda on ainult üks
ainuti	"pilku pööramata	 teraselt, tähelepanelikult"
ainuvalitseja	"piiramatu võimuga riigipea	 monarh"
ainuvalitsema	valdavas ülekaalus, valitsevas seisundis olema
ainuvalitsus	riigipea piiramatu valitsemine valitsusvormina
ainuõige	ainus õige
ainuõigsus	olek, seisund, kus õigena, tõesena nähakse ainult üht seisukohta, suhtumist, põhimõtet vms
ainuõigus	ainult ühele isikule, isikute rühmale või asutusele kuuluv (millegi müügi) õigus
ainuüksi	"(muid võimalusi välistavalt:) ainult, üksnes	 muud kõrvale või arvestamata jättes"
ais	"puu (hrl on neid paar), mille külge või millede vahele veoloom rakendatakse ning millest ta veokit, sõidukit, põllutööriista veab	 ka vastav puu nt käru käsitsi lükkamiseks või vedamiseks"
aist	"meelelise kogemise võime	 vaist, intuitsioon"
aistiline	meeleelundite abil toimuv, aistingutega seotud, meelte kaudu saadud
aistima	tunnetama, (vaistlikult) aru saama või tajuma
aisting	esemete ja nähtuste üksikute omaduste vahetu tunnetus meelte abil
Aizkraukle	linn Lätis
ait	toidu- ja muude tagavarade hoidmise hoone (talumajapidamises)
aitama	kellelegi abi osutama, nõu, jõuga vm moel abiks või toeks olema
Aitoolia	maa-ala Kreekas
Aitsra	küla Valga maakonnas Tõrva vallas (Helme kihelkonnas)
aituma	ainult tänusõnade ütlemine, pelk sõnaline tänu (ja ei midagi enamat)
aitäh	ainult tänusõnade ütlemine, pelk sõnaline tänu (ja ei midagi enamat)
aitüma	ainult tänusõnade ütlemine, pelk sõnaline tänu (ja ei midagi enamat)
aiva	kogu aeg, jätkuvalt ühtmoodi või samal viisil muutudes
Aiviekste	Daugava lisajõgi Lätis
ajaaken	ajavahemik, mille vältel mingi tegevus, sündmus vms peab aset leidma või saab aset leida
ajaarvamine	teatud tegelikust või legendaarsest sündmusest lähtuv aastate järjestamine ja ajaloosündmuste dateerimine
ajahammas	(ütlustes, mis märgivad aega kui kõige vanandajat, lagundajat, hävitajat)
ajahetk	väga lühike ajavahemik, mille jooksul midagi toimub, esineb vms
ajahäda	kasutada jääva aja nappus, selle lõpukorral olemine
ajaja	küttidele ulukeid ette ajav jahiline
ajajärk	pikem, teatavate iseloomulike tunnustega ajalõik või periood
ajakajaline	teataval ajalõigul tähtis, tähelepanu keskmes olev, päevasündmusi käsitlev või puudutav
ajakava	"üksikasjalik aja kasutamise plaan (nt konverentsi kava, busside sõiduplaan, päevaplaan)	 millegi toimumise, ürituste ajaline järjestus"
ajake	(aja kohta üldiselt, aga ka emotsionaalse varjundiga hüüatustes)
ajakene	(aja kohta üldiselt, aga ka emotsionaalse varjundiga hüüatustes)
ajakiri	pikema ajavahemiku järel (nt kord kuus) ilmuv kindla teemaringi või käsitluslaadiga perioodikaväljaanne
ajakirjandus	aktuaalse informatsiooni kogumine ja esitamine perioodikaväljaannete, raadio, televisiooni vm vahendusel
ajakirjanik	inimene, kes kirjutab ajalehtedele, ajakirjadele ja veebiväljaannetele artikleid või valmistab ette saateid televisioonis ja raadios
ajakohane	"nüüdisaja (vm ajalõigu) nõuetele, ootustele vastav	 aktuaalne"
ajakohastama	ajajärgu nõuetele, ootustele vastava(ma)ks, ajakohase(ma)ks, modernse(ma)ks muutma
ajaldasa	
ajaldi	õigel ajal, õigeks ajaks
ajaldine	õigel ajal toimuv
ajalehepoiss	tänaval käest ajalehti müütav (kooli)poiss
ajaleht	lühikese ajavahemiku järel (nt iga päev või kord nädalas) ilmuv, päevasündmusi käsitlev ning meelelahutust pakkuv väljaanne (paberil, veebis)
ajalik	maisesse ilma kuuluv, lüheldase ajaga määratud (hrl vastandina teispoolsele, igavikule)
ajaliselt	
ajalooalane	ajalooteadusega seotud
ajalooallikas	inimühiskonna ajalugu peegeldav, selle käiku uurida võimaldav mälestis
ajalookirjutaja	ajaloosündmuste kirjapanija
ajaloolane	ajaloo asjatundja
ajalooline	mineviku sündmuste, ehitiste, inimestega vm seotud, sellesse puutuv või sellest tulenev
ajalooliselt	ajaloo seisukohalt vaadelduna
ajalooratas	(aja kulgemise, aja kohta)
ajalooteadlane	ajaloo asjatundja
ajalooteadus	teadus, mis uurib ühiskonna ajaloo arenemist ja selle seaduspärasusi
ajalugu	ühiskonna, rahva vm minevikus toimunud järjestikused sündmused tervikuna
ajameri	(lõputult kulgeva aja kohta)
ajanäitaja	aja mõõtmise riist, hrl kell
ajapalk	töötatud ajaühikute arvu järgi arvutatav palk
ajapikka	pikapeale, aja jooksul
ajapikku	pikapeale, aja jooksul
ajaproov	(millegi püsivuse, kestvuse kohta)
ajapuudus	"kasutada oleva aja vähesus, nappus (nt ülekoormatuse tõttu)	 olukord, kus millekski aega ei jätku"
ajaraamat	kroonika (nt ajalooürikuna)
ajaraisk	"tarbetult kulutatud, raisatud aeg	 mõttetu, ebaotstarbekas aja kulutamine"
ajaratas	(aja kulgemise, aja kohta)
ajasignaal	raadio kaudu edastatav õige aja signaal
ajast-arust	"vanast ajast pärit, seetõttu ajakohasuse kaotanud või väga vanamoeline	 vanast ajast pärit, seetõttu ajakohasuse kaotanud või väga vanamoeline"
ajast ja arust	vanast ajast pärit, seetõttu ajakohasuse kaotanud või väga vanamoeline
ajastama	"soovitud ajahetkele suunama, ajaliselt sobitama	 mingi tähtpäeva või tähtajaga siduma"
ajastu	pikem, teatavate iseloomulike tunnustega ajalõik või periood
ajasääst	"aja kokkuhoid	 säästetud aeg"
ajataju	aja kulgemise, selle jagunemise vms tunnetus
ajatama	taime (või selle osa) tema puhkeperioodil lehtima või õitsele ajama
ajatasa	kaasaegsel tasemel, ajakohasena
ajatasu	töötatud ajaühikute arvu järgi arvutatav palk
ajateenistus	piiratud kestusega (kohustuslik) teenistus kaitseväes, mille vältel saadakse sõjaline väljaõpe ja sõdurile vajalikud teadmised ning oskused
ajatelg	aja, sündmuste kulgu märkiv mõtteline joon
ajatu	"just nagu väljaspool aega olev	 konkreetsest ajast sõltumatu, üle aegade kehtiv"
ajatus	konkreetsest ajast sõltumatu olek, üle aegade kehtivus
ajatöö	töö, mida tasustatakse tööajapõhiselt
ajavahe	kellaajaline erinevus ajavööndite vahel
ajavahemik	piiritletud ajalõik ühest ajahetkest teiseni
ajavahestress	füsioloogiline ja psühholoogiline seisund, mis on tingitud ööpäevarütmi muutusest ajavööndite piiride ületamisel, ajavööndi vahetusest johtuv väsimus
ajavaim	teatud ajajärgu tõekspidamised, mõttesuunad, vaated, maitse vms
ajaveeb	internetis peetav päevik, mis sisaldab ajaliselt järjestatud perioodilisi postitusi veebilehel ning võib olla avalik ja kommenteeritav
ajaviide	"seda võimaldav tegevus, meelelahutus vm	 (meeldiv) aja möödasaatmine, ajaviitmine"
ajaviit	"(meeldiv) aja möödasaatmine, ajaviitmine	 seda võimaldav tegevus, meelelahutus vm"
ajaviiteline	meeldivat ajaviidet pakkuv, puhkusena mõjuv, mitte eriti tõsine
ajavõit	"aja kokkuhoid	 säästetud aeg"
ajavõtt	(spordis:) distantsi läbimiseks kuluva aja täpne mõõtmine
ajavöönd	geograafiline vöönd, kus kehtib üks ja sama kellaaeg ehk vööndiaeg
aje	(psüühiline) vajadus midagi teha, (sisemine) tõuge või impulss
ajend	millekski tõuget andev, midagi esilekutsuv (väline) tegur, olukord vms
ajendama	tõuget andvaks teguriks olema, millekski tõuget andma
ajenduma	ajendist johtuma, mingi ajendi mõjul tekkima
ajepuu	kiiresti kasvav puu (nt hall lepp), mis pannakse kasvama teist liiki puu (nt tamme) alla selle kasvu kiirendamiseks
aju	selgroogsete koljuõõnes paiknev kesknärvisüsteemi osa
aju	jaht, kus ajajad peletavad uluki(d) sissepiiratud alalt küttide laskeulatusse
ajujaht	jaht, kus ajajad peletavad uluki(d) sissepiiratud alalt küttide laskeulatusse
ajukest	aju ümbritsev sidekoeline kate
ajuloputus	inimese mõjutamine vaimse või füüsilise surve avaldamise, järjepideva veenmise või reklaami teel
ajuma	tuulest, hoovustest aetuna aeglaselt liikuma
