märksõna;Tähendus(ed) (ÕS, ÜS);GPT-4o (17.05.24);"sildid
(valdkonnad suurtähtedes)";GPT 4 (27.03.24);sildid;Leksikograafi hinnang: SKMi järgi ÜSi pakutav registrimärgend või registrita;ÜK 2023: esinemisjuhud (konkordantsi järgi + sagedus per mln);"ÜK 2023: TOPIC
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023: GENRE
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023 konkordantsi uurimise järgi märkmeid
(random sample 200)";Leksikograafi hinnang: korpuse järgi ÜSi pakutav registrimärgend või registrita;Leksikograafi hinnang: mudel vs. korpus (mille poolest sarnanesid või erinesid);märkmed, mida ei oska kuhugi;Allikas (ÕS või ÜS);Orig. allika märgend;Teise allika märgend (27.–30.05.2024);"Kas SKM oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(kvalitatiivne analüüs hiljem)";"Kas korpus oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(nt sõna sagedus korpuses?)";"Kas SKM ja korpus täiendasid teineteist?
(jah/ei)";mille poolest täiendasid/erinesid?;"Kas märgendite pakkumine erineb SKMi ja korpuse puhul? 
(jah/ei)";"Leksikograafi pakkumine SKMi põhjal vs. originaalallikas?
(sama/mitte)";"Leksikograafi pakkumine korpuse põhjal vs. originaalallikas?
(sama/mitte)";"orig. allikas on argi/kõnek, aga SKMi ja/või korpuse järgi ei hinda nii
(täita ainult siis, kui jah;
vastupidi = SKM/korp pakkus kõnek, aga allikas polnud)"
gestaapo;"ÕS: Hitleri Saksamaa poliitiline politsei Gestapo
ÜS: poliitiline salapolitsei Natsi-Saksamaal aastail 1933–1945";kasutatakse tavaliselt ajaloolistes ja poliitilistes tekstides, mis käsitlevad Teise maailmasõja ja natsionaalsotsialistliku Saksamaa ajalugu. Gestaapo (Gestapo) oli natsionaalsotsialistliku Saksamaa salapolitsei, mis tegeles poliitiliste vastaste jälitamise ja represseerimisega. Seda sõna võib leida ka kirjanduses, memuaarides, dokumentaalfilmides ja akadeemilistes uurimustes, mis käsitlevad natsionaalsotsialismi, holokausti ja sõjakuritegusid.;AJALUGU, POLIITIKA;kasutatakse ajaloo- ja kultuuritekstides, eriti seoses Teise maailmasõja ja natsi-Saksamaaga.;AJALUGU, KULTUUR;registrita, aga valdkond ajalugu;977 (0,26 per mln);NONE 592 (tüüpiline), culture & entertainment 161 (tüüpiline), sex 55 (tüüpiline), religion 50 (tüüpiline), politics & government 33 (ei ole tüüpiline);periodicals 455 (ei ole tüüpiline), NONE 160 (ei ole tüüpiline), fiction 99 (tüüpiline), forums 88 (ei ole tüüpiline), blogs 87 (ei ole tüüpiline);;registrita;korpuses ei tulnud ajalugu välja, kuigi see on mõistetav, sest ajalootekste on seal suht vähe;;ÕS;registrita;registrita;jah;;jah;;jah;;ei;sama;sama;
hiinlane;"ÕS: Valge hiinlane argi fentanüül

ÜS:
hiinlane 'Hiina põhirahva liige; Hiina kodanik või elanik; Hiina päritolu inimene'

valge hiinlane '(narkomaanide keelepruugis fentanüüli kohta)'";kasutatakse eesti keeles tekstides, mis viitavad Hiina rahvusest või Hiina päritolu inimesele. Seda võib leida erinevat tüüpi tekstides, sealhulgas: 1. Ajaloolised tekstid: Arutledes Hiina ajaloost ja selle mõjust maailmale. 2. Uudised ja ajakirjandus: Käsitledes Hiina ja Eesti vahelisi suhteid, Hiina poliitikat, kultuuri või majandust. 3. Akadeemilised ja teaduslikud artiklid: Uurides Hiina kultuuri, keelt, ühiskonda või majandust. 4. Ilukirjandus: Tegelaste kirjeldamisel, kes on Hiina päritolu. 5. Reisikirjad ja blogid: Kirjeldades kogemusi Hiinas või kohtumisi hiinlastega. 6. Õpikutes ja haridusmaterjalides: Õpetades geograafiat, ajalugu või kultuuri.;HIINA kirjandus, memuaarid, teaduskirjandus;kasutatakse igasugustes tekstides, kus on juttu Hiina inimestest või kultuurist.;HIINA;;;;;;;;"Siit tuleb välja, et märgend on näite, mitte märksõna küljes: SEEGA TULEB OTSIDA KORPUSEST ""valge hiinlane""

Kuna me ei küsinud ""valge hiinlane"", vaid ""hiinlane"", siis SKMid ega korpus pole praegu analüüsimiseks mõttekad.";ÕS;argi;"omaette märksõna ""valge hiinlane"" KÕNEK";;;;;;;;;;
hoon;"ÕS: halb, vilets
ÜS: halb, vilets; kõhetu, kõhn ";"Ma ei oska öelda, millistes tekstides kasutatakse sisestatud eesti keele sõna ""hoon"". Võib-olla on tegemist trükiveaga või harva kasutatava sõnaga.";ei tea;kasutatakse geograafia, maastiku kirjeldamise ja ajaloo kontekstis.;GEOGRAAFIA, maastiku kirjeldamise, AJALUGU kontekstis.;mudel ei tunne, GPT 4 pakub vale (huupi);537 (0.14 per mln);NONE 179 (55.51%), politics & government 126 (324.40%), technology & IT 105 (279.02%),technology & IT:cars  94 (410.67 %), culture & entertainment 50 (75.35%);periodicals 292 (126.73&%), forums 111 (152.51%), NONE 79 (67.93%), encyclopedia 23 (294.14%), fiction 13 (69.45%);Suurem osa korea v hiina isikunimi HOON, mõned trükivead (sõna HOONE, kus sõna sees tühik v E puudu), veel mingi mootorihooldusvahend, + TÄIEN HOON;Korpusest ei suutnud leida ühtegi murdetähenduses esinemist.;Pole kasu ei mudelist ega korpusest.;Lydia mõttetera: murdesõna ei paista standardkeelekõnelejale nii hästi läbi kui argikeelsed sõnad.;ÕS;murdes;murdes;ei;ei tundnud ära;ei;ei leidunud murdetähendust;ei;kumbki ei tundnud;ei saa vastata;ei saa vastata;ei saa vastata;
instrueering;"ÕS: juhendus
ÜS:  juhtnööride ja nõuannete andmine, sedakaudu suunamine ";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""instrueering"".";ei tea;kasutatakse äritekstides, juhendites, koolitustel.;ÄRINDUS, juhendites, koolitustel;registrita;1 (0.01 per mln);NONE 1 (ei ole tüüpiline);NONE 1 (ei ole tüüpiline);;harv;kuna nii harv sõna, siis ei oska ka mudel midagi kosta eriti;;ÕS;registrita;harv;nii ja naa;;ei;liiga harv;jah;mudel pakkus valdkondi;jah;sama;sama;
jomp;"ÕS: tombuke, kühmuke
ÜS:  tombuke, paksem koht (lõngas) ";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""jomp"".";ei tea;kasutatakse ilukirjanduses, rahvaluuletekstides.;ilukirjandus, rahvaluuletekstid;SKM ei tunne, HARV seega sobib;29 (0.01 per mln);NONE 21 (137.80%) religion 2 (324.76%), other:languages & linguistics 1 (41,748.58%);periodicals 25 (200.37%);29-st enamik perekonnanimi Jomp. Vaid 2 sõnakasutust, neist üks filoloogiline tekst.;HARV, lisada ka MURDES;Mudel ei tunne, korpuses vaid 1 tegelik kasutus tekstis.;;ÕS;murdes;harv;ei;ei tundnud ära;ei;ainult üks meie tähenduses kasutusnäide;ei;kumbki ei tundnud;ei saa vastata;ei saa vastata;ei saa vastata;
jupsima;"ÕS: jukerdama, tembutama
ÜS: 1. millegi keeruka või palju aega ja vaeva nõudvaga tegelema; 2. töökorrast ära olema, ootamatult, veidralt toimima";kasutatakse eesti keeles tavaliselt igapäevases kõnepruugis ja mitteametlikes tekstides. See tähendab midagi väikest või tühist parandama või kohendama, sageli viidates tegevusele, mis on tülikas või aeganõudev. Näiteks võib seda sõna kasutada, kui räägitakse koduste tööde tegemisest, tehniliste seadmete parandamisest või muust sarnasest tegevusest, mis nõuab pidevat väikest kohendamist. Täpsemat teavet selle sõna kasutamise kohta konkreetsetes tekstides mul ei ole.;kõnekeel, mitteametlikud tekstid;kasutatakse igapäevakeeles, ilukirjanduses.;argikeel, ilukirjandus;kõnekeelne;2413 (0,64 per mln);"NONE 899 (ei ole tüüpiline), technology & IT 897 (tüüpiline), sports 195 (keskmine), culture & entertainment 163 (ei ole tüüpiline),
health 52 (ei ole tüüpiline)";forums 1325 (tüüpiline), blogs 436 (tüüpiline), periodicals 420 (ei ole tüüpiline), NONE 165 (ei ole tüüpiline), fiction 39 (ei ole tüüpiline);;kõnekeelne?;foorumides ja blogides esineb palju, mis võiks viidata, et tegemist kõnekeelsusega. mudel pakub ilukirjandust, see tuli ka korpusest välja, aga ei ole seal tüüpiline;minu pakutud kõnekeelsuse märgend tgelt puht kõhutunde pealt;ÕS;argi;registrita;jah;;jah;;jah;;ei;sama;sama;
jäärama;"ÕS: naistekütina elama
ÜS: [tähenduseta]";eesti keeles üsna haruldane ja spetsiifiline. See võib olla seotud murdekeele või vanema kirjakeelega. Kui see sõna on kasutusel, siis tõenäoliselt leidub seda rahvaluules, vanades kirjandustekstides või murdekeelsetes tekstides. Täpsemat konteksti või tekstide näiteid mul kahjuks ei ole.;murdekeel, vanem kirjakeel, rahvaluule;kasutatakse ilukirjanduses, ajakirjanduses, igapäevakeeles.;ilukirjandus, ajakirjandus, argikeel;murdekeel;482 (0,13 per mln);NONE 427 (tüüpiline), pets and animals  15 (tüüpiline), culture & entertainment 14 (ei ole tüüpiline), women & beauty 7 (ei ole tüüpiline), religion 6 (ei ole tüüpiline);blogs 374 (tüüpiline), periodicals 57 (ei ole tüüpiline), NONE 29 (ei ole tüüpiline), forums 11 (ei ole tüüpiline), fiction 6 (ei ole tüüpiline);ohtralt valemärgendust, esineb palju pärisnimesid (Jääras);harv;korpusest ei tulnud midagi välja, sest silma järgi kõikidel juhtudel tegemist valesti märgendatud sõnaga (on kas pärisnimi Jääras, tähtkuju Jäär või nimisõna jäär);"huvitaval kombel tuli korpusest välja pets & animals, mis vihjab, et tegemist võiks olla ka nimisõna jäär valestimärgendusega; ja ka blogid, kus ilmselt on kasutusel pärisnimi (Jääras)";ÕS;argi;[tähendust pole, seega pole ka silti];nii ja naa;ei tundnud eriti ära;ei;polnud meie tähenduses kasutusi;ei;;jah;mitte;mitte;jah
jagune;"ÕS: väga sügavate väljalõigetega
ÜS: (taimelehe kohta:) väga sügavate väljalõigetega, mis ulatuvad peaaegu lehelaba aluseni või keskrooni (nt mõnel viirpuusordil)";"kasutatakse eesti keeles tavaliselt verbina ""jagunema"" käändevormina. Seda võib leida erinevates tekstides, sealhulgas teaduslikes artiklites, õpikutes, ilukirjanduses ja igapäevases suhtluses, kus räägitakse millegi jaotumisest või jaotamisest osadeks. Näiteks võib see esineda lauses: ""Rühm jagune kaheks alarühmaks."" ";erinevad tekstid;kasutatakse teaduslikes tekstides, eriti bioloogia ja matemaatika valdkonnas.;teaduskirjandus, BIOLOOGIA, MATEMAATIKA;registrita. aga valdkond bioloogia, matemaatika;1042 (0,28 per mln);NONE 502 (ei ole tüüpiline), culture & entertainment 106 (ei ole tüüpiline), sience 94 (tüüpiline), education 64 (tüüpiline), politics & government 63 (keskmine) ;periodicals 467 (keskmine), NONE 244 (keskmine), blogs 119 (ei ole tüüpiline), forums 92 (ei ole tüüpiline), encyclopedia 58 (tüüpiline);valemärgendus, esineb verbina (jagunema);ei oska ütelda;keeruline midagi arvata, kui tegemist on ainult valemärgendusega. mudel pakkus ka, et tegemist verbivormiga.;keeruline midagi arvata, kui tegemist on ainult valemärgendusega. entsüklopeedia tekstides mõnevõrra adjektiivi tähendust leidus, teaduse tekstides jällegi ikkagi verbina pigem;ÕS;registrita (tegelikult BOT);registrita;jah;;ei;valemärgendused;jah;;jah;sama;mitte;
jõletu;"ÕS: homonüüm1 'väga, eriti, hiigla(-)', homonüüm2 'jõle'
ÜS: 1.  kole, hirmu tekitav ja kohkuma panev; alatu või nurjatu ; 1.1 vastik, jälk või ebameeldiv; 2. eriti suur, koletu, tohutu";kasutatakse eesti keeles tavaliselt kirjeldamaks midagi, mis on väga inetu, vastik või eemaletõukav. Seda võib leida erinevates tekstides, sealhulgas ilukirjanduses, ajakirjanduses, arvustustes ja vestlustes, kus soovitakse rõhutada millegi äärmiselt ebameeldivat olemust. Näiteks võib seda kasutada kirjeldamaks koledat hoonet, vastikut lõhna või ebameeldivat olukorda. ;erinevad tekstid;kasutatakse igapäevakeeles, ilukirjanduses, ajakirjanduses.;argikeel, ilukirjandus, ajakirjandus;registrita;485 (0,13 per mln);NONE 336 (tüüpiline), culture & entertainment 105 (tüüpiline), technology & IT 9 (ei ole tüüpiline), politics & government 7 (ei ole tüüpiline), religion 6 (ei ole tüüpiline);periodicals 164 (ei ole tüüpiline), blogs 119 (tüüpiline), fiction 113 (tüüpiline), forums 23 (ei ole tüüpiline), non-fiction 15 (tüüpiline);;registrita;sarnanesid, et esineb ajakirjanduses (periodicals), ilukirjanduses (fiction) ja igapäevakeeles (blogid);;ÕS;"homonüüm1 argi; homonüüm2 registrita";1.1 ja 2. tähendus kõnekeelne, 1. registrita;jah;;jah;;jah;erinevad valdkonnad ja anrid;ei;nii ja naa, ühe homonüümiga sama, teisega mitte;nii ja naa;
järjend;"ÕS: jada
ÜS: järgemööda toimuvate sündmuste, üksteise järel asetsevate arvude, andmete vms jada";kasutatakse eesti keeles peamiselt matemaatikas, informaatikas ja programmeerimises. See viitab tavaliselt järjestatud elementide kogumile, mida võib nimetada ka järjestikuks või järjestatud loendiks. Näiteks võib järjend olla arvude, tähtede või muude objektide järjestus, mida kasutatakse algoritmides ja andmestruktuurides. Kui sul on konkreetsem kontekst või tekst, mille kohta soovid teada, siis anna teada!;MATEMAATIKA, INFORMAATIKA, PROGRAMMEERIMINE;kasutatakse matemaatika ja programmeerimise kontekstis.;MATEMAATIKA, PROGRAMMEERIMINE;registrita, aga valdkond matemaatika, informaatika;1984 (0,52 per mln);education 845 (tüüpiline), science 520 (tüüpiline), NONE 378 (ei ole tüüpiline), technology & IT 182 (tüüpiline), culture & entertainment 48 (ei ole tüüpiline);NONE 1470 (tüüpiline), academic 220 (tüüpiline), encyclopedia 142 (tüüpiline), periodicals 90 (ei ole tüüpiline), forums 38 (ei ole tüüpiline);;registrita;sarnased selles mõttes, et tehnoloogia ja IT tuli välja mõlemal, aga mudel keeleteadust üldse ei maininud, mis density järgi esines enim just keeleteaduse tekstides;eriti tüüpiline teaduse ja hariduse tekstides (density üle 1000) ning akadeemilistes tekstides (üle 2000), kusjuures keeleteadus prevaleerib. äkki ÜSi tähendust kohendada?;ÕS;registrita;registrita;jah;;jah;;jah;;ei;sama;sama;
korp;"ÕSis 4 homonüümi
ÜSis 4 homonüümi mitmete tähendustega";"Ma ei oska öelda, millistes tekstides kasutatakse sisestatud eesti(keelset) sõna ""korp"".";ei tea;kasutatakse sõjanduse, bioloogia, arhitektuuri ja tehnika valdkonna tekstides.;SÕJANDUS, BIOLOOGIA, ARHITEKTUUR, TEHNIKA;;;;;;;;;ÕS;murdes;;;;;;;;;;;
kuub;"ÕS:  pintsak; pikem ülerõivas, rüü; MURDES seelik
ÜS: 1. (endisaegne) pikem hõlmadega meeste või naiste ülerõivas; 2. ülakeha ja puusi kattev pikkade varrukatega eest nööbitav (meeste) pealisrõivas; 3. (välimuse, kaitsva katte, pealiskihi kohta)";"kasutatakse eesti keeles mitmesugustes tekstides ja kontekstides. Näiteks: 1. Matemaatika ja geomeetria: ""Kuub"" viitab kolmemõõtmelisele kujundile, millel on kuus võrdset ruudukujulist külge. Näiteks: ""Kuubi ruumala arvutamiseks tuleb külje pikkus tõsta kolmandasse astmesse."" 2. Riietus: ""Kuub"" võib tähendada ka teatud tüüpi rõivastust, näiteks mantlit või jopet. Näiteks: ""Ta kandis paksu talvekuube."" 3. Kirjandus ja poeesia: Sõna ""kuub"" võib esineda ka kirjanduslikes tekstides, luuletustes ja proosas, kus seda kasutatakse kas otseses või metafoorses tähenduses.";MATEMAATIKA, GEOMEETRIA, RIIETUS, kirjandus, poeesia;kasutatakse matemaatika, füüsika, arhitektuuri, moedisaini ja igapäevakeeles.;MATEMAATIKA, FÜÜSIKA, ARHITEKTUUR, MOEDISAIN, argikeel;Mudel ajab segi matemaatikatermini KUUP ja kõnealuse sõna KUUB. Murdetähendust ei tunne.;42954 (11.35 per million);22017 NONE (94.50%), culture & entertainment 5075 (105.86%), sports 4852 (167.45%), technology & IT  1482 (54.51%);periodicals 21,977 (110.53%);Murdetähendust võimatu tuvastada.;see tähendus kindlasti registriga, aga kas seda tähendust üldse vaja esitada? ;;Konkordantsis on väga palju vormi KUUE, mis on tegelikult arvsõna KUUS omastav.;ÕS;murdes;2. tähendus HARV, 1. ja 3. tähendus registrita;ei;ei tundnud ära;ei;murdetähendust võimatu tuvastada;ei;kumbki ei tundnud;ei saa vastata;ei saa vastata;ei saa vastata;
kuukama;"ÕS: luusima, kolama, hiilima; jooma
ÜS: 1. luusima, kolama, hiilima; 2. jooma";kasutatakse eesti keeles peamiselt luules ja ilukirjanduses, et kirjeldada kuuvalguse poolt tekitatud helendust või kuma. See sõna võib esineda ka looduskirjeldustes ja romantilistes tekstides, kus on vaja luua meeleolu või visuaalset pilti öisest maastikust. Kui sul on konkreetne tekst või kontekst, kus seda sõna on kasutatud, saan aidata täpsemalt analüüsida.;luule, ilukirjandus, looduskirjeldused, romantilised tekstid;kasutatakse igapäevakeeles, et kirjeldada kuuvalguses jalutamist või romantilist tegevust.;argikeel;SKM eksib tähendusega;28 (0.01 per million);"NONE 14 (89.00%); culture & entertainment 4 (123.57%), food & drinks 2 (538.51%)";Blogs 10 (251.25 %), periodicals 9 (77.29%), forums 5  (135.93%);Peamiselt JOOMA tähenduses.;murdes;mudel eksib;;ÕS;murdes;mõlemad tähendused murdes;ei;ei tundnud ära;jah;;ei;mudel eksis;jah;ei saa vastata;sama;
kõiksugu;"ÕS: igasugu(ne)
ÜS: paljudest eri liikidest, iga liiki või laadi; mis tahes, ükskõik milline";"kasutatakse eesti keeles mitmesugustes tekstides, sealhulgas ilukirjanduses, ajakirjanduses, teadusartiklites ja igapäevases suhtluses. See sõna tähendab ""igasugune"" või ""mitmesugune"" ja seda kasutatakse tavaliselt mitmesuguste asjade või nähtuste kirjeldamiseks. Näiteks: 1. Ilukirjandus: ""Raamat sisaldas kõiksugu lugusid, alates seiklustest kuni armastusromaanideni."" 2. Ajakirjandus: ""Turg pakub kõiksugu tooteid, alates värsketest puuviljadest kuni käsitööesemeteni."" 3. Teadusartiklid: ""Uurimus käsitleb kõiksugu bioloogilisi protsesse, mis toimuvad raku tasandil."" 4. Igapäevane suhtlus: ""Kodus on kõiksugu tööriistu, mida saame kasutada.""";erinevad tekstid;kasutatakse igapäevakeeles, kirjanduses, ajakirjanduses, et näidata mitmekesisust.;argikeel, kirjanduses, ajakirjandus;registrita;33227;"18384 NONE (keskel, 99,76%)
5684 cult&entertain (tüüpiline)
3970 tech&it (tüüpiline)
1002 sports (ei ole tüüpiline)
761 food&drinks (tüüpiline)";"11177 periodicals (ei ole tüüpiline)
8227 blogs (tüüpiline)
5942 forums (tüüpiline)
5184 NONE (ei ole tüüpiline)
2723 fiction (tüüpiline)";"Konkordantsi lugedes ei paista, et oleks keeleüleselt kõnekeelne. Võrdluseks vaatasime ""kõiksugune"" ja pilt paistis suht sama.";registrita?;GPT-4o järgi erinevad tekstid, ei selgu kallak kõnekeelsuse poole. Teised versioonid ütlevad ka kõnekeelseks. Korpusest tuli välja mitmekülgne pilt, mis sarnaneb GPT-4o-ga.;;ÕS;argi;kõnekeelne;jah;;jah;;jah;erinevad valdkonnad ja anrid;ei   ;mitte;mitte;jah, võiks näitena kirjeldada artiklis?
käokaats;"ÕS: nurmenukk
ÜS: [märksõna puudub]";"kasutatakse eesti keeles tavaliselt rahvapärimustes ja loodustekstides. See sõna viitab taimele, mida tuntakse ka kui ""käopäkka"" või ""käokannust"". Käokaats on tuntud oma eripäraste õite poolest ja teda võib leida niitudelt ja metsaservadelt. Kui sul on konkreetne kontekst või tekst, milles seda sõna kasutatakse, siis saaksin täpsemalt aidata. Kui mitte, siis üldiselt kasutatakse seda sõna looduse ja taimestiku kirjeldamisel.";rahvapärimus, LOODUS;kasutatakse spordikirjanduses, mängujuhendites, lastekirjanduses.;SPORT, mängujuhendid, lastekirjandus;murdesõna;4 (0,01 per mln);;;;murdes;GPT 4 eksib, 4o on täpsem.;Kõik 4 esinemisjuhtu korpuses on teadustekstid (peamiselt iloloogilised);ÕS;murdes;[märksõna puudub];jah;;jah;;ei saa vastata;;ei;sama;sama;
käppima;"ÕS: katsuma, käperdama
ÜS: käega võtma või puudutama, käega katsuma (hrl olukorras, kus seda pahaks pannakse) ";"kasutatakse eesti keeles tavaliselt mitteametlikes ja argistes tekstides. See võib esineda näiteks vestlustes, sotsiaalmeedia postitustes, blogides või jutustustes. Sõna ""käppima"" tähendab tavaliselt midagi kätega katsuma või kompama, sageli viidates tegevusele, mis on pealetükkiv või soovimatu. Näiteks võib seda kasutada lauses: ""Ära käpi mu asju!""";mitteametlikud tekstid, argikeel;kasutatakse igapäevakeeles, et kirjeldada ebakindlat või ebaprofessionaalset tegevust.;argikeel;argikeel;1562 (0,41 per mln);NONE 842 (keskmine), culture & entertainment 227 (tüüpiline), technology & IT 173 (tüüpiline), home, family & children 64 (tüüpiline), sports 51 (ei ole tüüpiline);forums 567 (tüüpiline), blogs 420 (tüüpiline), periodicals 388 (ei ole tüüpiline), NONE 104 (ei ole tüüpiline), fiction 64 (tüüpiline);;registrita;esineb palju ka perioodikas ja ilukirjanduses, mudel pakkus vaid argikeelt;see, et registrita, on kõhutunne, kuigi tüüpiliselt esineb blogides ja foorumites, aga eriti kõrge density on nt ilukirjanduses hoopis;ÕS;argi;kõnekeelne;jah;;jah;;jah;erinevad valdkonnad ja anrid;jah;sama;mitte;
küütima;"ÕS: sõidutama, vedama
ÜS: 1. kedagi (või midagi) mingi sõidukiga edasi viima või kohale toimetama; 2. kedagi vägisi, sunniviisil ära viima, (ebaseaduslikult) välja saatma või ümber asustama, sundasumisele saatma";kasutatakse eesti keeles ja see tähendab kedagi sõidutama või vedama, tavaliselt hobuse või mõne muu sõiduvahendiga. Seda sõna võib leida erinevates tekstides, sealhulgas ilukirjanduses, ajaloolistes dokumentides ja rahvapärimustes, kus kirjeldatakse vanu kombeid ja eluolu. Näiteks võib seda sõna kohata eesti rahvajuttudes või kirjandusteostes, mis käsitlevad maaelu ja talutöid.;erinevad tekstid, AJALUGU, rahvapärimus, rahvajutud, kirjandus;võib leida ajaloolistes tekstides või ilukirjanduses, mis käsitleb näiteks Teist maailmasõda, kus inimesi küüditati.;AJALUGU, ilukirjandus;registrita;205 (0,05 per mln);NONE 147 (tüüpiline), culture & entertainment 36 (tüüpiline), travel & tourism 4 (ei ole tüüpiline), politics & government 4 (ei ole tüüpiline), technology & IT 4 (ei ole tüüpiline);fiction 81 (tüüpiline), periodicals 58 (ei ole tüüpiline), NONE 28 (ei ole tüüpiline), blogs 22 (ei ole tüüpiline), forums 14 (ei ole tüüpiline);;registrita;sama - esineb eriti ajaloo ja ilukirjandustekstides;eriti esines tekstitüüpides ajalugu, raamatud ja filmid;ÕS;registrita;registrita;jah;;jah;;jah;;ei;sama;sama;
kadal;"ÕS: vilets, armetu, hädine
ÜS: vilets, armetu (nt taimede või eluaseme kohta) ";"Ma ei oska öelda, millistes tekstides kasutatakse sisestatud eesti sõna ""kadal"".";ei tea;"kasutatakse sageli looduskirjeldustes, tähendades ""madalat, soist või märga kohta"". Näiteks: ""Metsas oli suur kadal, kus kasvasid kõrkjad.""";loduskirjeldused;MRD, regisrimärgend harv;49 (0,01 per mln);NONE 27,  sports 6 , travel & tourism 5, culture & entertainment 5;NONE 21, periodicals 14, blogs 5;;registrita;mudel ei tunne sõna, GPT 4 pakub valetähendust;korpuses enamik esinemisi tegelikult trükivead: kadal pro kaldal, homonüüm (alalütlev sõnast kada), pärisnimed (sports:horses 3 - 13,524.85%), tegelikult esineb alla 10 korra, neist ka pooled filoloogilised tekstid;ÕS;murdes;harv;ei;ei tundnud ära;ei;palju vigu;ei ;kumbki ei tundnud;ei saa vastata;ei saa vastata;ei saa vastata;
